id,x_survey,y_survey,E,N,lon,lat
R_0_54,0,2649.03442224607,824154.081999705,478556.917078858,-72.0799085595146,4.32393396081726
R_0_55,0,2698.09061525063,824154.081999705,478605.973271863,-72.0799068613406,4.32437718215349
R_0_56,0,2747.14680825519,824154.081999705,478655.029464867,-72.079905162991,4.32482040348389
R_0_57,0,2796.20300125974,824154.081999705,478704.085657872,-72.0799034644657,4.32526362480844
R_0_58,0,2845.2591942643,824154.081999705,478753.141850876,-72.0799017657646,4.32570684612714
R_0_59,0,2894.31538726886,824154.081999705,478802.198043881,-72.0799000668879,4.32615006744001
R_0_60,0,2943.37158027341,824154.081999705,478851.254236886,-72.0798983678355,4.32659328874702
R_0_61,0,2992.42777327797,824154.081999705,478900.31042989,-72.0798966686073,4.32703651004819
R_0_62,0,3041.48396628253,824154.081999705,478949.366622895,-72.0798949692034,4.32747973134352
R_0_63,0,3090.54015928708,824154.081999705,478998.422815899,-72.0798932696238,4.32792295263299
R_0_64,0,3139.59635229164,824154.081999705,479047.479008904,-72.0798915698686,4.32836617391662
R_0_65,0,3188.6525452962,824154.081999705,479096.535201908,-72.0798898699376,4.3288093951944
R_0_66,0,3237.70873830075,824154.081999705,479145.591394913,-72.0798881698309,4.32925261646633
R_0_67,0,3286.76493130531,824154.081999705,479194.647587917,-72.0798864695485,4.32969583773241
R_0_68,0,3335.82112430987,824154.081999705,479243.703780922,-72.0798847690904,4.33013905899264
R_0_69,0,3384.87731731443,824154.081999705,479292.759973927,-72.0798830684565,4.33058228024703
R_0_70,0,3433.93351031898,824154.081999705,479341.816166931,-72.079881367647,4.33102550149555
R_0_71,0,3482.98970332354,824154.081999705,479390.872359936,-72.0798796666617,4.33146872273823
R_0_72,0,3532.0458963281,824154.081999705,479439.92855294,-72.0798779655008,4.33191194397505
R_0_73,0,3581.10208933265,824154.081999705,479488.984745945,-72.0798762641641,4.33235516520603
R_0_74,0,3630.15828233721,824154.081999705,479538.040938949,-72.0798745626517,4.33279838643114
R_0_75,0,3679.21447534177,824154.081999705,479587.097131954,-72.0798728609636,4.33324160765041
R_0_76,0,3728.27066834632,824154.081999705,479636.153324959,-72.0798711590998,4.33368482886382
R_0_77,0,3777.32686135088,824154.081999705,479685.209517963,-72.0798694570603,4.33412805007137
R_0_78,0,3826.38305435544,824154.081999705,479734.265710968,-72.079867754845,4.33457127127306
R_0_79,0,3875.43924735999,824154.081999705,479783.321903972,-72.0798660524541,4.3350144924689
R_0_80,0,3924.49544036455,824154.081999705,479832.378096977,-72.0798643498874,4.33545771365889
R_0_81,0,3973.55163336911,824154.081999705,479881.434289981,-72.079862647145,4.33590093484301
R_0_82,0,4022.60782637367,824154.081999705,479930.490482986,-72.0798609442269,4.33634415602128
R_0_83,0,4071.66401937822,824154.081999705,479979.54667599,-72.079859241133,4.33678737719368
R_0_84,0,4120.72021238278,824154.081999705,480028.602868995,-72.0798575378635,4.33723059836023
R_0_85,0,4169.77640538734,824154.081999705,480077.659061999,-72.0798558344182,4.33767381952092
R_0_86,0,4218.83259839189,824154.081999705,480126.715255004,-72.0798541307972,4.33811704067574
R_0_87,0,4267.88879139645,824154.081999705,480175.771448009,-72.0798524270005,4.33856026182471
R_0_88,0,4316.94498440101,824154.081999705,480224.827641013,-72.0798507230281,4.33900348296781
R_0_89,0,4366.00117740556,824154.081999705,480273.883834018,-72.0798490188799,4.33944670410505
R_0_90,0,4415.05737041012,824154.081999705,480322.940027022,-72.0798473145561,4.33988992523642
R_0_91,0,4464.11356341468,824154.081999705,480371.996220027,-72.0798456100565,4.34033314636193
R_0_92,0,4513.16975641923,824154.081999705,480421.052413031,-72.0798439053812,4.34077636748158
R_0_93,0,4562.22594942379,824154.081999705,480470.108606036,-72.0798422005301,4.34121958859536
R_0_94,0,4611.28214242835,824154.081999705,480519.164799041,-72.0798404955034,4.34166280970328
R_0_95,0,4660.3383354329,824154.081999705,480568.220992045,-72.0798387903009,4.34210603080533
R_0_96,0,4709.39452843746,824154.081999705,480617.27718505,-72.0798370849227,4.34254925190152
R_0_97,0,4758.45072144202,824154.081999705,480666.333378054,-72.0798353793688,4.34299247299183
R_0_98,0,4807.50691444658,824154.081999705,480715.389571059,-72.0798336736391,4.34343569407628
R_0_99,0,4856.56310745113,824154.081999705,480764.445764063,-72.0798319677337,4.34387891515486
R_0_100,0,4905.61930045569,824154.081999705,480813.501957068,-72.0798302616526,4.34432213622757
R_0_101,0,4954.67549346025,824154.081999705,480862.558150072,-72.0798285553958,4.34476535729441
R_0_102,0,5003.7316864648,824154.081999705,480911.614343077,-72.0798268489632,4.34520857835538
R_0_103,0,5052.78787946936,824154.081999705,480960.670536082,-72.0798251423549,4.34565179941048
R_0_104,0,5101.84407247392,824154.081999705,481009.726729086,-72.0798234355709,4.3460950204597
R_0_105,0,5150.90026547847,824154.081999705,481058.782922091,-72.0798217286112,4.34653824150306
R_0_106,0,5199.95645848303,824154.081999705,481107.839115095,-72.0798200214757,4.34698146254054
R_0_107,0,5249.01265148759,824154.081999705,481156.8953081,-72.0798183141645,4.34742468357215
R_0_108,0,5298.06884449214,824154.081999705,481205.951501104,-72.0798166066775,4.34786790459788
R_0_109,0,5347.1250374967,824154.081999705,481255.007694109,-72.0798148990149,4.34831112561774
R_0_110,0,5396.18123050126,824154.081999705,481304.063887113,-72.0798131911765,4.34875434663173
R_0_111,0,5445.23742350582,824154.081999705,481353.120080118,-72.0798114831623,4.34919756763984
R_0_112,0,5494.29361651037,824154.081999705,481402.176273123,-72.0798097749725,4.34964078864207
R_0_113,0,5543.34980951493,824154.081999705,481451.232466127,-72.0798080666069,4.35008400963842
R_0_114,0,5592.40600251948,824154.081999705,481500.288659132,-72.0798063580655,4.3505272306289
R_0_115,0,5641.46219552404,824154.081999705,481549.344852136,-72.0798046493485,4.3509704516135
R_0_116,0,5690.5183885286,824154.081999705,481598.401045141,-72.0798029404557,4.35141367259222
R_0_117,0,5739.57458153316,824154.081999705,481647.457238145,-72.0798012313871,4.35185689356506
R_0_118,0,5788.63077453771,824154.081999705,481696.51343115,-72.0797995221429,4.35230011453202
