id,E,N,lon,lat
S_0_0,824154.0819997053,475907.8826566121,-72.08,4.299999999999998
S_0_1,824203.1381927079,475907.88265661214,-72.07955848615607,4.299998304742176
S_0_2,824252.1943857144,475907.88265661226,-72.07911697248784,4.299996609228929
S_0_3,824301.250578719,475907.88265661226,-72.07867545899533,4.299994913460257
S_0_4,824350.3067717236,475907.88265661214,-72.07823394567859,4.2999932174361595
S_0_5,824399.362964728,475907.88265661214,-72.07779243253763,4.299991521156642
S_0_6,824448.4191577324,475907.88265661226,-72.07735091957248,4.299989824621702
S_0_7,824497.4753507371,475907.88265661214,-72.07690940678316,4.2999881278313365
S_0_8,824546.5315437419,475907.88265661214,-72.0764678941697,4.299986430785553
S_0_9,824595.5877367458,475907.88265661226,-72.07602638173213,4.299984733484348
S_0_10,824644.6439297502,475907.8826566121,-72.07558486947049,4.29998303592772
S_0_11,824693.7001227553,475907.88265661226,-72.07514335738477,4.299981338115675
S_0_12,824742.7563157581,475907.88265661214,-72.07470184547505,4.299979640048209
S_0_13,824791.8125087633,475907.88265661214,-72.07426033374128,4.299977941725324
S_0_14,824840.8687017694,475907.88265661214,-72.07381882218354,4.29997624314702
S_0_15,824889.9248947736,475907.88265661214,-72.07337731080186,4.299974544313298
S_0_16,824938.9810877778,475907.88265661214,-72.07293579959625,4.2999728452241595
S_0_17,824988.037280783,475907.88265661214,-72.07249428856673,4.299971145879605
S_0_18,825037.093473787,475907.8826566123,-72.07205277771335,4.299969446279633
S_0_19,825086.1496667925,475907.88265661214,-72.07161126703612,4.299967746424243
S_0_20,825135.2058597968,475907.88265661214,-72.07116975653507,4.299966046313439
S_0_21,825184.2620528014,475907.88265661214,-72.07072824621022,4.299964345947219
S_0_22,825233.318245805,475907.88265661226,-72.07028673606162,4.2999626453255875
S_0_23,825282.3744388106,475907.88265661214,-72.06984522608926,4.299960944448539
S_0_24,825331.4306318142,475907.88265661214,-72.0694037162932,4.299959243316078
S_0_25,825380.4868248198,475907.88265661214,-72.06896220667342,4.299957541928204
S_0_26,825429.5430178236,475907.88265661214,-72.06852069723001,4.299955840284917
S_0_27,825478.5992108284,475907.8826566121,-72.06807918796295,4.299954138386217
S_0_28,825527.6554038328,475907.88265661214,-72.06763767887229,4.299952436232108
S_0_29,825576.711596837,475907.88265661226,-72.06719616995804,4.299950733822588
S_0_30,825625.7677898414,475907.88265661226,-72.06675466122024,4.2999490311576585
S_0_31,825674.8239828472,475907.8826566121,-72.06631315265889,4.299947328237314
S_0_32,825723.8801758515,475907.88265661226,-72.06587164427407,4.299945625061565
S_0_33,825772.9363688563,475907.8826566123,-72.06543013606574,4.2999439216304065
S_0_34,825821.9925618601,475907.88265661214,-72.06498862803399,4.299942217943836
S_0_35,825871.0487548629,475907.8826566121,-72.06454712017882,4.299940514001859
S_0_36,825920.1049478678,475907.88265661214,-72.06410561250023,4.299938809804477
S_0_37,825969.1611408736,475907.8826566121,-72.06366410499827,4.299937105351685
S_0_38,826018.2173338785,475907.88265661214,-72.06322259767296,4.2999354006434904
S_0_39,826067.2735268831,475907.88265661214,-72.06278109052435,4.299933695679886
S_0_40,826116.3297198875,475907.88265661214,-72.06233958355244,4.299931990460878
S_0_41,826165.3859128915,475907.88265661226,-72.06189807675727,4.299930284986466
S_0_42,826214.4421058969,475907.88265661214,-72.06145657013886,4.299928579256647
S_0_43,826263.4982989009,475907.88265661214,-72.06101506369724,4.299926873271426
S_0_44,826312.5544919063,475907.88265661214,-72.06057355743242,4.299925167030802
S_0_45,826361.6106849106,475907.88265661214,-72.06013205134445,4.299923460534773
S_0_46,826410.6668779153,475907.88265661226,-72.05969054543336,4.2999217537833445
S_0_47,826459.723070919,475907.8826566121,-72.05924903969915,4.29992004677651
S_0_48,826508.7792639247,475907.88265661214,-72.05880753414185,4.299918339514278
S_0_49,826557.8354569285,475907.8826566121,-72.05836602876153,4.299916631996641
S_0_50,826606.8916499328,475907.88265661214,-72.05792452355816,4.299914924223608
S_0_51,826655.947842938,475907.8826566121,-72.05748301853178,4.299913216195173
S_0_52,826705.0040359416,475907.88265661226,-72.05704151368245,4.299911507911341
S_0_53,826754.0602289462,475907.88265661214,-72.05660000901017,4.299909799372108
S_0_54,826803.116421952,475907.88265661214,-72.05615850451494,4.2999080905774765
S_0_55,826852.1726149564,475907.88265661214,-72.05571700019685,4.299906381527448
S_0_56,826901.228807961,475907.88265661214,-72.05527549605587,4.299904672222022
S_0_57,826950.2850009643,475907.88265661214,-72.05483399209207,4.299902962661199
S_0_58,826999.3411939694,475907.88265661214,-72.05439248830544,4.29990125284498
S_0_59,827048.3973869747,475907.88265661226,-72.05395098469602,4.299899542773364
S_0_60,827097.4535799791,475907.88265661214,-72.05350948126384,4.299897832446353
S_0_61,827146.5097729829,475907.88265661214,-72.05306797800894,4.2998961218639495
S_0_62,827195.5659659874,475907.8826566121,-72.05262647493132,4.299894411026148
S_0_63,827244.6221589928,475907.88265661226,-72.052184972031,4.299892699932957
S_0_64,827293.6783519962,475907.88265661214,-72.05174346930805,4.29989098858437
S_0_65,827342.7345450008,475907.88265661214,-72.05130196676245,4.29988927698039
S_0_66,827391.7907380068,475907.88265661226,-72.05086046439425,4.29988756512102
S_0_67,827440.846931011,475907.8826566121,-72.05041896220348,4.299885853006255
S_0_68,827489.9031240153,475907.88265661214,-72.04997746019016,4.2998841406361015
S_0_69,827538.9593170183,475907.88265661214,-72.04953595835433,4.299882428010557
S_0_70,827588.015510023,475907.88265661214,-72.04909445669598,4.299880715129622
S_0_71,827637.0717030296,475907.88265661214,-72.04865295521516,4.299879001993296
S_0_72,827686.1278960337,475907.88265661214,-72.0482114539119,4.299877288601581
S_0_73,827735.1840890383,475907.88265661214,-72.04776995278623,4.299875574954479
S_0_74,827784.2402820409,475907.8826566121,-72.04732845183818,4.299873861051987
S_0_75,827833.2964750472,475907.88265661226,-72.04688695106773,4.299872146894111
S_0_76,827882.3526680515,475907.88265661214,-72.04644545047496,4.299870432480843
S_0_77,827931.4088610568,475907.88265661197,-72.04600395005987,4.2998687178121875
S_0_78,827980.4650540606,475907.88265661226,-72.04556244982251,4.299867002888152
S_0_79,828029.5212470655,475907.88265661226,-72.04512094976288,4.2998652877087284
S_0_80,828078.5774400705,475907.88265661226,-72.04467944988102,4.299863572273918
