id,E,N,lon,lat
R_0_75,824154.0819997049,479587.09713195416,-72.0798728609636,4.33324160765041
R_0_76,824154.0819997038,479636.1533249589,-72.0798711590998,4.33368482886382
R_0_77,824154.0819997004,479685.20951796335,-72.0798694570603,4.33412805007137
R_0_78,824154.0819997059,479734.2657109671,-72.079867754845,4.3345712712730595
R_0_79,824154.0819997004,479783.32190397166,-72.0798660524541,4.335014492468898
R_0_80,824154.081999701,479832.3780969771,-72.0798643498874,4.335457713658889
R_0_81,824154.0819997017,479881.4342899813,-72.079862647145,4.335900934843011
R_0_82,824154.0819997014,479930.49048298603,-72.0798609442269,4.336344156021279
R_0_83,824154.0819997083,479979.54667599004,-72.079859241133,4.33678737719368
R_0_84,824154.0819997025,480028.60286899493,-72.0798575378635,4.337230598360229
R_0_85,824154.0819997069,480077.6590619999,-72.0798558344182,4.337673819520919
R_0_86,824154.0819997083,480126.71525500383,-72.0798541307972,4.33811704067574
R_0_87,824154.0819997068,480175.77144800907,-72.0798524270005,4.33856026182471
R_0_88,824154.0819997038,480224.82764101325,-72.0798507230281,4.339003482967809
R_0_89,824154.0819997105,480273.88383401796,-72.0798490188799,4.33944670410505
R_0_90,824154.0819997016,480322.9400270219,-72.0798473145561,4.339889925236419
R_0_91,824154.0819997037,480371.9962200262,-72.0798456100565,4.34033314636193
R_0_92,824154.0819997025,480421.052413031,-72.0798439053812,4.340776367481579
R_0_93,824154.0819997094,480470.1086060354,-72.0798422005301,4.34121958859536
R_0_94,824154.0819997018,480519.16479904024,-72.0798404955034,4.341662809703281
R_0_95,824154.0819997049,480568.2209920449,-72.0798387903009,4.34210603080533
R_0_96,824154.0819997033,480617.27718505,-72.0798370849227,4.342549251901519
R_0_97,824154.0819996996,480666.33337805414,-72.0798353793688,4.34299247299183
R_0_98,824154.0819997052,480715.38957105874,-72.0798336736391,4.3434356940762795
R_0_99,824154.0819997073,480764.4457640634,-72.0798319677337,4.343878915154859
R_0_100,824154.0819997056,480813.501957068,-72.0798302616526,4.34432213622757
R_0_101,824154.0819997003,480862.5581500724,-72.0798285553958,4.344765357294409
R_0_102,824154.0819997068,480911.61434307724,-72.0798268489632,4.345208578355381
R_0_103,824154.0819997054,480960.67053608183,-72.0798251423549,4.345651799410479
R_0_104,824154.0819997045,481009.7267290855,-72.0798234355709,4.346095020459699
R_0_105,824154.0819996994,481058.7829220908,-72.0798217286112,4.346538241503059
R_0_106,824154.0819997019,481107.83911509515,-72.0798200214757,4.3469814625405405
R_0_107,824154.0819997002,481156.8953081,-72.0798183141645,4.34742468357215
R_0_108,824154.0819997073,481205.95150110393,-72.0798166066775,4.347867904597879
R_0_109,824154.0819996989,481255.0076941087,-72.0798148990149,4.34831112561774
R_0_110,824154.0819997005,481304.0638871137,-72.0798131911765,4.348754346631731
R_0_111,824154.0819997063,481353.1200801185,-72.0798114831623,4.349197567639841
R_0_112,824154.0819996994,481402.1762731226,-72.0798097749725,4.349640788642069
R_0_113,824154.0819996994,481451.2324661267,-72.0798080666069,4.35008400963842
R_0_114,824154.0819997079,481500.2886591315,-72.0798063580655,4.3505272306289
R_0_115,824154.0819997003,481549.3448521361,-72.0798046493485,4.350970451613498
R_0_116,824154.0819996998,481598.4010451407,-72.0798029404557,4.35141367259222
R_0_117,824154.0819997087,481647.4572381452,-72.0798012313871,4.35185689356506
R_0_118,824154.0819996989,481696.5134311495,-72.0797995221429,4.35230011453202
R_0_119,824154.0819997098,481745.5696241541,-72.0797978127228,4.352743335493101
R_0_120,824154.0819997061,481794.62581715884,-72.0797961031271,4.3531865564483
R_0_121,824154.0819997075,481843.6820101635,-72.0797943933556,4.353629777397619
R_0_122,824154.0819997055,481892.73820316745,-72.0797926834084,4.354072998341049
R_0_123,824154.0819997,481941.7943961728,-72.0797909732855,4.354516219278609
R_0_124,824154.0819997007,481990.8505891775,-72.0797892629868,4.35495944021028
R_0_125,824154.0819997079,482039.9067821818,-72.0797875525123,4.35540266113606
R_0_126,824154.0819996987,482088.9629751863,-72.07978584186222,4.355845882055959
R_0_127,824154.0819997082,482138.01916819037,-72.0797841310362,4.356289102969969
R_0_128,824154.0819997027,482187.075361195,-72.0797824200346,4.3567323238780995
R_0_129,824154.0819997047,482236.13155420066,-72.0797807088572,4.357175544780351
R_0_130,824154.0819996998,482285.18774720456,-72.0797789975041,4.357618765676699
R_0_131,824154.0819997026,482334.24394020956,-72.0797772859752,4.358061986567171
R_0_132,824154.0819996997,482383.3001332142,-72.0797755742706,4.35850520745175
R_0_133,824154.0819997042,482432.35632621864,-72.0797738623902,4.35894842833044
R_0_134,824154.0819997045,482481.4125192233,-72.0797721503341,4.359391649203239
R_0_135,824154.0819997091,482530.4687122278,-72.0797704381022,4.35983487007015
R_0_136,824154.0819997081,482579.52490523126,-72.0797687256946,4.360278090931159
R_0_137,824154.0819997056,482628.5810982361,-72.0797670131113,4.36072131178629
R_0_138,824154.0819997074,482677.6372912411,-72.0797653003522,4.361164532635529
R_0_139,824154.0819997018,482726.69348424533,-72.0797635874174,4.361607753478871
R_0_140,824154.0819997045,482775.7496772498,-72.0797618743068,4.36205097431632
R_0_141,824154.0819997012,482824.8058702546,-72.0797601610205,4.36249419514788
R_0_142,824154.0819997033,482873.862063259,-72.0797584475584,4.36293741597354
R_0_143,824154.0819997009,482922.9182562638,-72.0797567339206,4.36338063679331
R_0_144,824154.0819997049,482971.97444926825,-72.079755020107,4.363823857607181
R_0_145,824154.0819997028,483021.030642273,-72.0797533061177,4.36426707841516
R_0_146,824154.0819997059,483070.08683527785,-72.0797515919526,4.36471029921724
R_0_147,824154.0819997027,483119.143028282,-72.0797498776118,4.365153520013419
R_0_148,824154.0819997059,483168.1992212863,-72.0797481630952,4.3655967408037
R_0_149,824154.081999704,483217.25541429105,-72.0797464484029,4.36603996158809
R_0_150,824154.0819997072,483266.3116072961,-72.0797447335348,4.36648318236658
R_0_151,824154.0819997037,483315.36780029995,-72.079743018491,4.366926403139161
R_0_152,824154.0819997049,483364.4239933047,-72.0797413032714,4.36736962390585
R_0_153,824154.0819997025,483413.48018630984,-72.0797395878761,4.36781284466664
R_0_154,824154.0819997033,483462.53637931397,-72.079737872305,4.368256065421521
R_0_155,824154.0819997101,483511.5925723182,-72.0797361565581,4.3686992861705
R_0_156,824154.0819996987,483560.6487653225,-72.0797344406356,4.36914250691358
R_0_263,824154.0819996992,488809.6614168099,-72.0795498212988,4.41656709219265
R_0_264,824154.0819997063,488858.7176098157,-72.0795480863916,4.41701031229475
R_0_265,824154.0819997018,488907.77380282,-72.0795463513087,4.417453532390869
R_0_266,824154.0819997054,488956.82999582426,-72.0795446160499,4.41789675248102
R_0_267,824154.0819997087,489005.88618882926,-72.0795428806153,4.418339972565209
R_0_268,824154.0819997002,489054.9423818332,-72.079541145005,4.418783192643419
R_0_269,824154.0819997011,489103.99857483816,-72.0795394092188,4.419226412715669
R_0_270,824154.0819996999,489153.0547678421,-72.0795376732568,4.419669632781938
R_0_271,824154.0819997068,489202.1109608474,-72.0795359371189,4.420112852842249
R_0_272,824154.0819997045,489251.1671538518,-72.0795342008053,4.42055607289658
R_0_273,824154.0819997082,489300.2233468565,-72.0795324643158,4.42099929294494
R_0_274,824154.0819997016,489349.2795398612,-72.0795307276506,4.42144251298733
R_0_275,824154.0819997039,489398.3357328655,-72.0795289908095,4.421885733023741
R_0_276,824154.0819997024,489447.3919258701,-72.0795272537926,4.42232895305418
R_0_277,824154.0819997014,489496.4481188741,-72.0795255165999,4.42277217307864
R_0_278,824154.0819997094,489545.5043118787,-72.0795237792313,4.42321539309713
R_0_279,824154.0819997035,489594.56050488295,-72.079522041687,4.42365861310964
R_0_280,824154.0819997063,489643.6166978878,-72.0795203039668,4.42410183311618
